Date,Label,Top1,Top2,Top3,Top4,Top5,Top6,Top7,Top8,Top9,Top10,Top11,Top12,Top13,Top14,Top15,Top16,Top17,Top18,Top19,Top20,Top21,Top22,Top23,Top24,Top25
2017-02-12,1,Breaking: Retail sector faces regulatory probe,Breaking: Retail sector downgrades guidance,Breaking: Banking sector faces regulatory probe,Breaking: Retail sector faces regulatory probe,Breaking: Banking sector plunges on weak earnings,Breaking: Energy sector inflation accelerates,News: Fed keeps rates unchanged,News: Fed to announce results,Breaking: Energy sector faces regulatory probe,Breaking: Energy sector fed hawkish on rates,News: ECB releases meeting minutes,Breaking: Retail sector sell-off accelerates,News: Treasury keeps rates unchanged,Breaking: Retail sector plunges on weak earnings,Breaking: Energy sector sell-off accelerates,Breaking: Retail sector downgrades guidance,News: Fed markets await data,Breaking: Retail sector jobless claims rise,Breaking: Energy sector sell-off accelerates,Breaking: Tech sector fed hawkish on rates,Breaking: Tech sector fed hawkish on rates,News: ECB to announce results,Breaking: Banking sector misses revenue targets,News: SEC releases meeting minutes,News: ECB keeps rates unchanged
2017-02-13,1,News: ECB to announce results,News: Treasury markets await data,News: Treasury releases meeting minutes,News: SEC markets await data,News: SEC to announce results,News: SEC sector rotation observed,News: SEC markets await data,News: SEC to announce results,News: SEC sector rotation observed,News: ECB to announce results,News: Treasury sector rotation observed,News: SEC trading volume light,News: SEC sector rotation observed,News: SEC trading volume light,News: SEC trading volume light,News: Treasury to announce results,News: Treasury to announce results,News: Fed markets await data,News: SEC keeps rates unchanged,News: Fed sector rotation observed,News: Fed keeps rates unchanged,News: ECB to announce results,News: ECB releases meeting minutes,News: Fed to announce results,News: SEC releases meeting minutes
2017-02-14,1,Market Update: Retail stock inflation data comes in lower,Market Update: Retail stock upgrades outlook,Market Update: Banking stock beats earnings estimates,Market Update: Energy stock beats earnings estimates,News: Treasury sector rotation observed,Market Update: Energy stock secures major contract,Market Update: Retail stock beats earnings estimates,Market Update: Energy stock consumer confidence spikes,Market Update: Tech stock consumer confidence spikes,News: ECB sector rotation observed,News: ECB markets await data,Market Update: Banking stock beats earnings estimates,Market Update: Energy stock consumer confidence spikes,Market Update: Tech stock upgrades outlook,News: ECB trading volume light,Market Update: Retail stock surges to record highs,Market Update: Banking stock tech sector leads rally,Market Update: Banking stock unemployment falls unexpectedly,Market Update: Energy stock inflation data comes in lower,Market Update: Tech stock inflation data comes in lower,Market Update: Retail stock secures major contract,Market Update: Banking stock surges to record highs,Market Update: Retail stock consumer confidence spikes,Market Update: Tech stock surges to record highs,Market Update: Energy stock consumer confidence spikes
2017-02-15,1,News: Treasury markets await data,News: ECB sector rotation observed,News: ECB sector rotation observed,News: ECB releases meeting minutes,News: SEC to announce results,News: ECB keeps rates unchanged,News: Fed sector rotation observed,News: ECB to announce results,News: ECB keeps rates unchanged,News: Fed trading volume light,News: Fed sector rotation observed,News: Treasury keeps rates unchanged,News: Fed trading volume light,News: SEC to announce results,News: Fed sector rotation observed,News: SEC trading volume light,News: Fed keeps rates unchanged,News: Fed trading volume light,News: Fed markets await data,News: ECB markets await data,News: ECB releases meeting minutes,News: Treasury to announce results,News: Treasury sector rotation observed,News: SEC to announce results,News: SEC keeps rates unchanged
2017-02-16,0,News: ECB to announce results,Breaking: Energy sector inflation accelerates,Breaking: Tech sector fed hawkish on rates,News: SEC releases meeting minutes,Breaking: Tech sector misses revenue targets,Breaking: Banking sector sell-off accelerates,Breaking: Retail sector consumer spending slows,Breaking: Retail sector consumer spending slows,Breaking: Tech sector consumer spending slows,News: Fed markets await data,Breaking: Energy sector jobless claims rise,Breaking: Banking sector plunges on weak earnings,Breaking: Retail sector plunges on weak earnings,News: SEC to announce results,Breaking: Energy sector sell-off accelerates,Breaking: Banking sector fed hawkish on rates,Breaking: Energy sector misses revenue targets,Breaking: Tech sector misses revenue targets,Breaking: Banking sector jobless claims rise,Breaking: Retail sector faces regulatory probe,News: Fed keeps rates unchanged,News: ECB sector rotation observed,News: SEC to announce results,Breaking: Tech sector consumer spending slows,Breaking: Banking sector faces regulatory probe
2017-02-17,1,Market Update: Retail stock unemployment falls unexpectedly,Market Update: Energy stock secures major contract,Market Update: Tech stock surges to record highs,News: SEC to announce results,News: SEC to announce results,Market Update: Tech stock inflation data comes in lower,News: SEC sector rotation observed,News: Fed releases meeting minutes,News: Fed markets await data,Market Update: Retail stock secures major contract,Market Update: Energy stock consumer confidence spikes,Market Update: Banking stock unemployment falls unexpectedly,Market Update: Energy stock surges to record highs,Market Update: Tech stock tech sector leads rally,Market Update: Retail stock beats earnings estimates,News: SEC sector rotation observed,News: ECB keeps rates unchanged,Market Update: Retail stock tech sector leads rally,News: Fed sector rotation observed,News: SEC sector rotation observed,Market Update: Tech stock unemployment falls unexpectedly,News: ECB to announce results,Market Update: Energy stock fed signals rate cuts,News: Treasury trading volume light,Market Update: Energy stock upgrades outlook
2017-02-18,0,News: Treasury markets await data,Breaking: Energy sector jobless claims rise,Breaking: Tech sector consumer spending slows,News: Fed to announce results,Breaking: Tech sector fed hawkish on rates,Breaking: Banking sector faces regulatory probe,Breaking: Tech sector faces regulatory probe,Breaking: Tech sector misses revenue targets,Breaking: Energy sector jobless claims rise,Breaking: Banking sector jobless claims rise,News: Treasury releases meeting minutes,Breaking: Energy sector fed hawkish on rates,Breaking: Energy sector misses revenue targets,Breaking: Banking sector downgrades guidance,Breaking: Banking sector plunges on weak earnings,Breaking: Banking sector misses revenue targets,News: Treasury releases meeting minutes,Breaking: Energy sector jobless claims rise,Breaking: Energy sector plunges on weak earnings,Breaking: Energy sector plunges on weak earnings,Breaking: Energy sector misses revenue targets,News: Treasury releases meeting minutes,Breaking: Energy sector fed hawkish on rates,Breaking: Tech sector faces regulatory probe,News: ECB to announce results
2017-02-19,0,Breaking: Banking sector downgrades guidance,Breaking: Retail sector jobless claims rise,Breaking: Energy sector misses revenue targets,Breaking: Banking sector inflation accelerates,Breaking: Banking sector inflation accelerates,Breaking: Banking sector faces regulatory probe,Breaking: Tech sector downgrades guidance,Breaking: Tech sector inflation accelerates,Breaking: Banking sector plunges on weak earnings,Breaking: Tech sector inflation accelerates,Breaking: Retail sector downgrades guidance,Breaking: Banking sector inflation accelerates,News: Treasury trading volume light,Breaking: Retail sector fed hawkish on rates,News: SEC releases meeting minutes,Breaking: Energy sector sell-off accelerates,News: ECB to announce results,Breaking: Retail sector consumer spending slows,News: Fed sector rotation observed,News: Treasury markets await data,Breaking: Banking sector consumer spending slows,Breaking: Tech sector sell-off accelerates,News: SEC markets await data,Breaking: Energy sector sell-off accelerates,News: ECB keeps rates unchanged
2017-02-20,1,News: ECB releases meeting minutes,Market Update: Tech stock upgrades outlook,Market Update: Tech stock tech sector leads rally,Market Update: Banking stock upgrades outlook,News: SEC keeps rates unchanged,Market Update: Energy stock unemployment falls unexpectedly,Market Update: Banking stock tech sector leads rally,Market Update: Retail stock surges to record highs,Market Update: Tech stock consumer confidence spikes,Market Update: Retail stock tech sector leads rally,News: ECB releases meeting minutes,Market Update: Banking stock consumer confidence spikes,News: ECB to announce results,Market Update: Banking stock consumer confidence spikes,Market Update: Energy stock upgrades outlook,Market Update: Tech stock upgrades outlook,Market Update: Banking stock secures major contract,Market Update: Energy stock inflation data comes in lower,Market Update: Energy stock secures major contract,News: Fed sector rotation observed,Market Update: Tech stock secures major contract,Market Update: Retail stock tech sector leads rally,Market Update: Retail stock consumer confidence spikes,News: ECB to announce results,Market Update: Tech stock secures major contract
2017-02-21,1,News: Treasury to announce results,News: Fed sector rotation observed,Market Update: Tech stock consumer confidence spikes,News: Treasury releases meeting minutes,Market Update: Banking stock upgrades outlook,Market Update: Tech stock upgrades outlook,News: ECB to announce results,Market Update: Banking stock beats earnings estimates,Market Update: Energy stock surges to record highs,Market Update: Tech stock inflation data comes in lower,News: Fed releases meeting minutes,News: Fed keeps rates unchanged,News: SEC keeps rates unchanged,News: SEC releases meeting minutes,News: ECB markets await data,Market Update: Energy stock tech sector leads rally,Market Update: Tech stock secures major contract,Market Update: Energy stock unemployment falls unexpectedly,News: SEC to announce results,Market Update: Retail stock surges to record highs,Market Update: Tech stock consumer confidence spikes,Market Update: Retail stock surges to record highs,Market Update: Retail stock consumer confidence spikes,Market Update: Banking stock surges to record highs,News: Treasury markets await data
2017-02-22,1,News: ECB trading volume light,Breaking: Energy sector faces regulatory probe,Breaking: Banking sector jobless claims rise,News: SEC releases meeting minutes,News: Treasury releases meeting minutes,Breaking: Retail sector faces regulatory probe,Breaking: Tech sector fed hawkish on rates,Breaking: Energy sector fed hawkish on rates,Breaking: Energy sector fed hawkish on rates,News: Fed markets await data,Breaking: Energy sector jobless claims rise,News: ECB markets await data,Breaking: Tech sector plunges on weak earnings,Breaking: Tech sector sell-off accelerates,Breaking: Retail sector plunges on weak earnings,Breaking: Tech sector misses revenue targets,Breaking: Banking sector downgrades guidance,Breaking: Retail sector inflation accelerates,Breaking: Retail sector consumer spending slows,News: Treasury to announce results,Breaking: Banking sector jobless claims rise,News: ECB trading volume light,Breaking: Retail sector inflation accelerates,Breaking: Retail sector fed hawkish on rates,Breaking: Energy sector faces regulatory probe
2017-02-23,0,Breaking: Retail sector consumer spending slows,News: SEC releases meeting minutes,Breaking: Retail sector plunges on weak earnings,News: Fed releases meeting minutes,Breaking: Tech sector plunges on weak earnings,Breaking: Tech sector jobless claims rise,Breaking: Banking sector inflation accelerates,Breaking: Tech sector sell-off accelerates,News: Treasury sector rotation observed,Breaking: Retail sector jobless claims rise,Breaking: Retail sector misses revenue targets,News: SEC trading volume light,News: SEC sector rotation observed,News: SEC keeps rates unchanged,Breaking: Banking sector plunges on weak earnings,Breaking: Retail sector plunges on weak earnings,News: Fed releases meeting minutes,Breaking: Retail sector downgrades guidance,Breaking: Banking sector plunges on weak earnings,News: Fed markets await data,Breaking: Tech sector consumer spending slows,Breaking: Banking sector inflation accelerates,Breaking: Banking sector plunges on weak earnings,Breaking: Banking sector inflation accelerates,Breaking: Banking sector sell-off accelerates
2017-02-24,1,Market Update: Tech stock secures major contract,Market Update: Retail stock inflation data comes in lower,Market Update: Energy stock inflation data comes in lower,Market Update: Tech stock beats earnings estimates,Market Update: Tech stock secures major contract,News: ECB markets await data,News: Treasury sector rotation observed,News: ECB trading volume light,Market Update: Retail stock secures major contract,News: SEC markets await data,Market Update: Banking stock unemployment falls unexpectedly,News: Fed markets await data,Market Update: Retail stock unemployment falls unexpectedly,Market Update: Energy stock tech sector leads rally,News: Treasury keeps rates unchanged,Market Update: Energy stock beats earnings estimates,Market Update: Banking stock unemployment falls unexpectedly,Market Update: Energy stock surges to record highs,Market Update: Tech stock tech sector leads rally,News: SEC to announce results,Market Update: Tech stock consumer confidence spikes,Market Update: Energy stock tech sector leads rally,Market Update: Tech stock fed signals rate cuts,Market Update: Tech stock upgrades outlook,News: Treasury trading volume light
2017-02-25,0,Breaking: Banking sector inflation accelerates,Breaking: Banking sector faces regulatory probe,Breaking: Banking sector inflation accelerates,Breaking: Banking sector jobless claims rise,News: ECB sector rotation observed,News: Treasury sector rotation observed,Breaking: Retail sector misses revenue targets,Breaking: Tech sector consumer spending slows,Breaking: Banking sector downgrades guidance,News: SEC releases meeting minutes,Breaking: Energy sector faces regulatory probe,Breaking: Retail sector jobless claims rise,News: Fed trading volume light,News: Treasury keeps rates unchanged,News: Treasury releases meeting minutes,News: ECB sector rotation observed,News: ECB sector rotation observed,Breaking: Tech sector plunges on weak earnings,News: ECB keeps rates unchanged,Breaking: Energy sector misses revenue targets,News: Fed sector rotation observed,News: SEC markets await data,Breaking: Retail sector fed hawkish on rates,Breaking: Tech sector misses revenue targets,Breaking: Banking sector jobless claims rise
2017-02-26,1,Breaking: Energy sector plunges on weak earnings,Breaking: Energy sector misses revenue targets,News: SEC markets await data,Breaking: Retail sector faces regulatory probe,Breaking: Tech sector inflation accelerates,Breaking: Tech sector jobless claims rise,Breaking: Retail sector inflation accelerates,News: SEC keeps rates unchanged,Breaking: Energy sector inflation accelerates,Breaking: Retail sector jobless claims rise,Breaking: Banking sector fed hawkish on rates,Breaking: Banking sector consumer spending slows,Breaking: Retail sector misses revenue targets,News: ECB keeps rates unchanged,News: Treasury to announce results,Breaking: Banking sector faces regulatory probe,News: SEC trading volume light,Breaking: Tech sector misses revenue targets,News: Treasury sector rotation observed,Breaking: Tech sector misses revenue targets,Breaking: Banking sector misses revenue targets,Breaking: Energy sector faces regulatory probe,News: SEC trading volume light,News: Treasury keeps rates unchanged,Breaking: Tech sector faces regulatory probe
2017-02-27,1,Market Update: Energy stock fed signals rate cuts,News: Fed trading volume light,Market Update: Energy stock fed signals rate cuts,Market Update: Energy stock inflation data comes in lower,Market Update: Energy stock tech sector leads rally,News: Fed sector rotation observed,News: SEC keeps rates unchanged,Market Update: Energy stock fed signals rate cuts,News: Treasury keeps rates unchanged,Market Update: Energy stock fed signals rate cuts,News: Treasury to announce results,Market Update: Retail stock beats earnings estimates,Market Update: Retail stock tech sector leads rally,Market Update: Energy stock beats earnings estimates,News: SEC releases meeting minutes,Market Update: Tech stock surges to record highs,News: Fed to announce results,Market Update: Retail stock unemployment falls unexpectedly,Market Update: Tech stock beats earnings estimates,Market Update: Banking stock tech sector leads rally,Market Update: Energy stock fed signals rate cuts,Market Update: Energy stock upgrades outlook,Market Update: Retail stock unemployment falls unexpectedly,Market Update: Tech stock surges to record highs,News: ECB keeps rates unchanged
2017-02-28,0,News: Fed trading volume light,News: ECB keeps rates unchanged,Breaking: Banking sector inflation accelerates,Breaking: Tech sector consumer spending slows,Breaking: Banking sector sell-off accelerates,Breaking: Retail sector jobless claims rise,Breaking: Tech sector sell-off accelerates,Breaking: Retail sector plunges on weak earnings,Breaking: Retail sector misses revenue targets,News: Fed markets await data,News: SEC releases meeting minutes,Breaking: Banking sector faces regulatory probe,News: SEC trading volume light,News: SEC keeps rates unchanged,News: Fed trading volume light,News: SEC markets await data,Breaking: Banking sector inflation accelerates,Breaking: Banking sector inflation accelerates,Breaking: Tech sector sell-off accelerates,Breaking: Tech sector plunges on weak earnings,Breaking: Tech sector faces regulatory probe,Breaking: Tech sector sell-off accelerates,Breaking: Energy sector sell-off accelerates,Breaking: Retail sector plunges on weak earnings,Breaking: Retail sector downgrades guidance
2017-03-01,1,News: ECB to announce results,News: ECB sector rotation observed,News: ECB markets await data,News: SEC to announce results,News: Treasury sector rotation observed,News: ECB sector rotation observed,News: Treasury trading volume light,News: ECB sector rotation observed,News: Treasury trading volume light,News: SEC releases meeting minutes,News: Treasury sector rotation observed,News: Fed sector rotation observed,News: ECB releases meeting minutes,News: SEC sector rotation observed,News: Fed to announce results,News: Treasury keeps rates unchanged,News: SEC sector rotation observed,News: Fed releases meeting minutes,News: Treasury trading volume light,News: SEC markets await data,News: Fed keeps rates unchanged,News: ECB keeps rates unchanged,News: SEC to announce results,News: Fed keeps rates unchanged,News: SEC to announce results
2017-03-02,0,Breaking: Retail sector fed hawkish on rates,News: ECB releases meeting minutes,News: Treasury trading volume light,Breaking: Retail sector fed hawkish on rates,Breaking: Energy sector misses revenue targets,News: Treasury trading volume light,News: SEC releases meeting minutes,Breaking: Banking sector faces regulatory probe,Breaking: Retail sector fed hawkish on rates,Breaking: Tech sector consumer spending slows,News: SEC releases meeting minutes,News: Fed to announce results,Breaking: Retail sector sell-off accelerates,Breaking: Tech sector faces regulatory probe,Breaking: Banking sector plunges on weak earnings,Breaking: Retail sector jobless claims rise,Breaking: Energy sector faces regulatory probe,Breaking: Tech sector misses revenue targets,Breaking: Energy sector inflation accelerates,Breaking: Tech sector inflation accelerates,News: ECB sector rotation observed,Breaking: Retail sector consumer spending slows,Breaking: Tech sector faces regulatory probe,Breaking: Banking sector consumer spending slows,News: Treasury trading volume light
2017-03-03,0,Breaking: Retail sector faces regulatory probe,Breaking: Energy sector faces regulatory probe,News: Treasury to announce results,News: Treasury sector rotation observed,Breaking: Tech sector inflation accelerates,News: ECB releases meeting minutes,Breaking: Tech sector plunges on weak earnings,Breaking: Energy sector inflation accelerates,Breaking: Energy sector faces regulatory probe,Breaking: Retail sector inflation accelerates,Breaking: Tech sector consumer spending slows,Breaking: Energy sector plunges on weak earnings,News: SEC sector rotation observed,News: Treasury keeps rates unchanged,Breaking: Banking sector jobless claims rise,Breaking: Energy sector misses revenue targets,Breaking: Tech sector sell-off accelerates,Breaking: Retail sector downgrades guidance,News: SEC markets await data,Breaking: Tech sector downgrades guidance,Breaking: Energy sector jobless claims rise,News: ECB to announce results,Breaking: Energy sector downgrades guidance,Breaking: Energy sector downgrades guidance,Breaking: Retail sector downgrades guidance
2017-03-04,0,Breaking: Tech sector inflation accelerates,News: ECB sector rotation observed,Breaking: Tech sector downgrades guidance,Breaking: Energy sector consumer spending slows,Breaking: Tech sector downgrades guidance,News: Treasury markets await data,News: SEC keeps rates unchanged,Breaking: Retail sector sell-off accelerates,Breaking: Banking sector jobless claims rise,News: SEC keeps rates unchanged,Breaking: Banking sector misses revenue targets,Breaking: Tech sector misses revenue targets,Breaking: Banking sector plunges on weak earnings,Breaking: Energy sector jobless claims rise,Breaking: Energy sector downgrades guidance,Breaking: Energy sector downgrades guidance,Breaking: Tech sector downgrades guidance,Breaking: Retail sector consumer spending slows,Breaking: Energy sector fed hawkish on rates,Breaking: Retail sector inflation accelerates,News: Treasury to announce results,Breaking: Retail sector jobless claims rise,Breaking: Tech sector jobless claims rise,News: Treasury markets await data,News: ECB trading volume light
2017-03-05,1,Market Update: Retail stock unemployment falls unexpectedly,Market Update: Retail stock beats earnings estimates,Market Update: Retail stock beats earnings estimates,News: ECB sector rotation observed,News: Fed keeps rates unchanged,Market Update: Tech stock consumer confidence spikes,News: Treasury trading volume light,Market Update: Tech stock inflation data comes in lower,Market Update: Energy stock beats earnings estimates,Market Update: Banking stock consumer confidence spikes,Market Update: Energy stock inflation data comes in lower,Market Update: Tech stock tech sector leads rally,News: Fed markets await data,News: Fed markets await data,Market Update: Retail stock consumer confidence spikes,Market Update: Tech stock tech sector leads rally,Market Update: Retail stock tech sector leads rally,Market Update: Retail stock fed signals rate cuts,Market Update: Tech stock fed signals rate cuts,Market Update: Energy stock beats earnings estimates,News: Treasury releases meeting minutes,Market Update: Energy stock upgrades outlook,Market Update: Banking stock consumer confidence spikes,Market Update: Banking stock upgrades outlook,Market Update: Tech stock consumer confidence spikes
2017-03-06,0,Breaking: Energy sector downgrades guidance,Breaking: Banking sector inflation accelerates,Breaking: Retail sector fed hawkish on rates,Breaking: Banking sector faces regulatory probe,Breaking: Energy sector inflation accelerates,Breaking: Retail sector fed hawkish on rates,Breaking: Retail sector faces regulatory probe,Breaking: Tech sector inflation accelerates,Breaking: Banking sector consumer spending slows,Breaking: Energy sector jobless claims rise,Breaking: Energy sector sell-off accelerates,Breaking: Banking sector plunges on weak earnings,Breaking: Banking sector plunges on weak earnings,News: SEC keeps rates unchanged,Breaking: Banking sector sell-off accelerates,Breaking: Energy sector plunges on weak earnings,News: ECB to announce results,Breaking: Tech sector faces regulatory probe,Breaking: Banking sector jobless claims rise,News: Fed keeps rates unchanged,Breaking: Tech sector plunges on weak earnings,Breaking: Energy sector jobless claims rise,Breaking: Energy sector fed hawkish on rates,Breaking: Banking sector consumer spending slows,Breaking: Banking sector inflation accelerates
2017-03-07,0,Breaking: Retail sector sell-off accelerates,News: Treasury sector rotation observed,Breaking: Energy sector inflation accelerates,News: Treasury trading volume light,Breaking: Tech sector consumer spending slows,Breaking: Banking sector misses revenue targets,Breaking: Tech sector plunges on weak earnings,Breaking: Tech sector faces regulatory probe,Breaking: Retail sector faces regulatory probe,Breaking: Energy sector jobless claims rise,Breaking: Retail sector jobless claims rise,Breaking: Retail sector consumer spending slows,News: Fed markets await data,Breaking: Tech sector downgrades guidance,News: Treasury releases meeting minutes,Breaking: Energy sector jobless claims rise,Breaking: Energy sector faces regulatory probe,News: SEC trading volume light,Breaking: Retail sector misses revenue targets,Breaking: Banking sector jobless claims rise,Breaking: Retail sector inflation accelerates,News: ECB releases meeting minutes,News: Fed keeps rates unchanged,Breaking: Tech sector downgrades guidance,Breaking: Tech sector misses revenue targets
2017-03-08,0,Breaking: Energy sector consumer spending slows,Breaking: Energy sector inflation accelerates,News: ECB markets await data,News: Treasury sector rotation observed,Breaking: Retail sector misses revenue targets,Breaking: Banking sector faces regulatory probe,Breaking: Banking sector faces regulatory probe,Breaking: Tech sector fed hawkish on rates,Breaking: Tech sector jobless claims rise,Breaking: Tech sector faces regulatory probe,Breaking: Energy sector misses revenue targets,Breaking: Energy sector inflation accelerates,Breaking: Banking sector faces regulatory probe,News: Treasury sector rotation observed,Breaking: Banking sector consumer spending slows,Breaking: Energy sector plunges on weak earnings,Breaking: Energy sector fed hawkish on rates,News: ECB keeps rates unchanged,News: ECB markets await data,Breaking: Retail sector plunges on weak earnings,Breaking: Banking sector plunges on weak earnings,Breaking: Energy sector jobless claims rise,Breaking: Energy sector misses revenue targets,News: Treasury markets await data,Breaking: Banking sector misses revenue targets
2017-03-09,0,Breaking: Energy sector sell-off accelerates,Breaking: Banking sector downgrades guidance,Breaking: Retail sector inflation accelerates,News: ECB to announce results,Breaking: Energy sector plunges on weak earnings,Breaking: Energy sector misses revenue targets,Breaking: Tech sector faces regulatory probe,Breaking: Tech sector downgrades guidance,Breaking: Retail sector faces regulatory probe,News: ECB releases meeting minutes,Breaking: Energy sector inflation accelerates,News: Fed keeps rates unchanged,Breaking: Banking sector jobless claims rise,Breaking: Banking sector faces regulatory probe,News: ECB trading volume light,Breaking: Retail sector misses revenue targets,Breaking: Energy sector fed hawkish on rates,News: Treasury markets await data,News: Fed sector rotation observed,Breaking: Banking sector faces regulatory probe,Breaking: Tech sector plunges on weak earnings,News: Treasury markets await data,Breaking: Retail sector fed hawkish on rates,News: ECB trading volume light,Breaking: Retail sector fed hawkish on rates
2017-03-10,0,Market Update: Retail stock beats earnings estimates,News: SEC sector rotation observed,Market Update: Banking stock beats earnings estimates,Market Update: Banking stock consumer confidence spikes,News: SEC sector rotation observed,News: ECB markets await data,News: Treasury keeps rates unchanged,Market Update: Banking stock beats earnings estimates,Market Update: Retail stock beats earnings estimates,Market Update: Banking stock beats earnings estimates,Market Update: Banking stock consumer confidence spikes,Market Update: Retail stock beats earnings estimates,News: Treasury keeps rates unchanged,Market Update: Retail stock beats earnings estimates,Market Update: Retail stock tech sector leads rally,Market Update: Tech stock beats earnings estimates,News: ECB markets await data,Market Update: Retail stock tech sector leads rally,Market Update: Banking stock unemployment falls unexpectedly,Market Update: Energy stock tech sector leads rally,News: Fed to announce results,Market Update: Banking stock inflation data comes in lower,News: Treasury markets await data,Market Update: Banking stock fed signals rate cuts,Market Update: Energy stock beats earnings estimates
2017-03-11,1,News: SEC markets await data,News: SEC trading volume light,News: Treasury releases meeting minutes,News: SEC to announce results,Market Update: Retail stock tech sector leads rally,Market Update: Tech stock secures major contract,Market Update: Retail stock beats earnings estimates,Market Update: Tech stock secures major contract,Market Update: Banking stock unemployment falls unexpectedly,Market Update: Energy stock unemployment falls unexpectedly,News: ECB sector rotation observed,Market Update: Banking stock unemployment falls unexpectedly,Market Update: Banking stock inflation data comes in lower,News: ECB trading volume light,Market Update: Energy stock secures major contract,Market Update: Tech stock upgrades outlook,Market Update: Banking stock fed signals rate cuts,Market Update: Energy stock secures major contract,News: Treasury to announce results,News: SEC trading volume light,News: SEC keeps rates unchanged,Market Update: Retail stock beats earnings estimates,Market Update: Retail stock upgrades outlook,Market Update: Energy stock beats earnings estimates,Market Update: Tech stock inflation data comes in lower
2017-03-12,0,Breaking: Tech sector plunges on weak earnings,Breaking: Banking sector faces regulatory probe,Breaking: Tech sector consumer spending slows,News: Fed sector rotation observed,Breaking: Tech sector jobless claims rise,Breaking: Tech sector faces regulatory probe,Breaking: Tech sector faces regulatory probe,Breaking: Energy sector inflation accelerates,News: SEC sector rotation observed,Breaking: Tech sector inflation accelerates,Breaking: Tech sector inflation accelerates,News: Fed markets await data,News: Treasury keeps rates unchanged,Breaking: Retail sector plunges on weak earnings,Breaking: Energy sector plunges on weak earnings,News: ECB releases meeting minutes,Breaking: Retail sector jobless claims rise,Breaking: Tech sector fed hawkish on rates,Breaking: Energy sector misses revenue targets,Breaking: Banking sector consumer spending slows,News: ECB markets await data,News: Treasury trading volume light,Breaking: Tech sector faces regulatory probe,News: Fed releases meeting minutes,Breaking: Tech sector faces regulatory probe
2017-03-13,0,News: ECB sector rotation observed,Market Update: Banking stock surges to record highs,Market Update: Retail stock fed signals rate cuts,Market Update: Retail stock inflation data comes in lower,Market Update: Tech stock fed signals rate cuts,Market Update: Banking stock tech sector leads rally,Market Update: Tech stock consumer confidence spikes,Market Update: Energy stock tech sector leads rally,Market Update: Tech stock consumer confidence spikes,Market Update: Retail stock consumer confidence spikes,News: Fed releases meeting minutes,Market Update: Retail stock tech sector leads rally,Market Update: Tech stock surges to record highs,Market Update: Energy stock tech sector leads rally,Market Update: Retail stock consumer confidence spikes,News: SEC releases meeting minutes,Market Update: Energy stock unemployment falls unexpectedly,Market Update: Energy stock tech sector leads rally,Market Update: Tech stock unemployment falls unexpectedly,News: Treasury sector rotation observed,Market Update: Tech stock upgrades outlook,Market Update: Banking stock upgrades outlook,Market Update: Tech stock unemployment falls unexpectedly,News: Treasury sector rotation observed,News: Treasury sector rotation observed
2017-03-14,0,Breaking: Energy sector jobless claims rise,Breaking: Tech sector consumer spending slows,Breaking: Energy sector downgrades guidance,Breaking: Energy sector jobless claims rise,News: ECB sector rotation observed,News: Treasury markets await data,Breaking: Energy sector jobless claims rise,Breaking: Retail sector sell-off accelerates,Breaking: Tech sector consumer spending slows,News: ECB keeps rates unchanged,Breaking: Tech sector faces regulatory probe,Breaking: Retail sector consumer spending slows,News: ECB markets await data,Breaking: Tech sector sell-off accelerates,Breaking: Energy sector plunges on weak earnings,Breaking: Retail sector faces regulatory probe,News: Treasury trading volume light,Breaking: Banking sector plunges on weak earnings,Breaking: Retail sector sell-off accelerates,Breaking: Retail sector faces regulatory probe,News: Treasury to announce results,Breaking: Tech sector downgrades guidance,News: ECB trading volume light,Breaking: Energy sector jobless claims rise,News: Treasury to announce results
2017-03-15,1,Market Update: Tech stock secures major contract,Market Update: Energy stock consumer confidence spikes,Market Update: Tech stock consumer confidence spikes,Market Update: Energy stock tech sector leads rally,Market Update: Energy stock secures major contract,Market Update: Retail stock secures major contract,Market Update: Tech stock surges to record highs,Market Update: Energy stock beats earnings estimates,Market Update: Retail stock secures major contract,News: ECB markets await data,News: Treasury markets await data,Market Update: Retail stock tech sector leads rally,Market Update: Retail stock fed signals rate cuts,News: SEC keeps rates unchanged,News: Fed to announce results,Market Update: Banking stock inflation data comes in lower,News: Treasury sector rotation observed,Market Update: Energy stock unemployment falls unexpectedly,News: Treasury keeps rates unchanged,News: SEC keeps rates unchanged,Market Update: Banking stock consumer confidence spikes,Market Update: Retail stock inflation data comes in lower,Market Update: Tech stock tech sector leads rally,News: Treasury keeps rates unchanged,Market Update: Energy stock tech sector leads rally
2017-03-16,0,News: Treasury releases meeting minutes,News: Treasury markets await data,News: SEC to announce results,News: Treasury trading volume light,News: Fed keeps rates unchanged,News: Fed to announce results,News: SEC to announce results,News: SEC sector rotation observed,News: Fed to announce results,News: SEC releases meeting minutes,News: ECB trading volume light,News: SEC keeps rates unchanged,News: SEC to announce results,News: Fed keeps rates unchanged,News: Treasury to announce results,News: Treasury sector rotation observed,News: SEC sector rotation observed,News: ECB markets await data,News: SEC sector rotation observed,News: Fed to announce results,News: Fed sector rotation observed,News: SEC releases meeting minutes,News: SEC to announce results,News: SEC trading volume light,News: Fed keeps rates unchanged
